model_1,warmth_score_1,dominance_score_1,prompt_1,model_2,warmth_score_2,dominance_score_2,prompt_2,iteration
claude-3-7-sonnet-20250219,,,,gemini-1.5-flash,,,,1
claude-3-7-sonnet-20250219,,,,gemini-2.0-flash-live-001,,,,1
claude-3-7-sonnet-20250219,,,,gemini-2.0-flash-lite,,,,1
claude-3-7-sonnet-20250219,,,,gemini-2.0-flash,,,,1
claude-3-7-sonnet-20250219,,,,gemini-2.5-flash-lite,,,,1
claude-3-7-sonnet-20250219,,,,gemini-2.5-flash,,,,1
claude-3-7-sonnet-20250219,,,,gemini-2.5-pro,,,,1
claude-sonnet-4-20250514,,,,o4-mini,,,,1
claude-sonnet-4-20250514,,,,o3,,,,1
claude-sonnet-4-20250514,,,,o3-mini,,,,1
claude-sonnet-4-20250514,,,,o1,,,,1
claude-sonnet-4-20250514,,,,gpt-4.1,,,,1
claude-sonnet-4-20250514,,,,gpt-4o,,,,1
claude-sonnet-4-20250514,,,,gpt-4.1-mini,,,,1
claude-sonnet-4-20250514,,,,gpt-4.1-nano,,,,1
claude-sonnet-4-20250514,,,,gpt-4o-mini,,,,1
claude-sonnet-4-20250514,,,,gpt-3.5-turbo,,,,1
claude-sonnet-4-20250514,,,,gpt-4-turbo,,,,1
claude-sonnet-4-20250514,,,,gpt-4,,,,1
claude-sonnet-4-20250514,,,,claude-3-haiku-20240307,,,,1
claude-sonnet-4-20250514,,,,claude-3-5-sonnet-20240620,,,,1
claude-sonnet-4-20250514,,,,claude-3-5-sonnet-20241022,,,,1
claude-sonnet-4-20250514,,,,claude-3-5-haiku-20241022,,,,1
claude-sonnet-4-20250514,,,,claude-3-7-sonnet-20250219,,,,1
claude-sonnet-4-20250514,,,,claude-opus-4-20250514,,,,1
claude-sonnet-4-20250514,,,,gemini-1.5-pro,,,,1
claude-sonnet-4-20250514,,,,gemini-1.5-flash-8b,,,,1
claude-sonnet-4-20250514,,,,gemini-1.5-flash,,,,1
claude-sonnet-4-20250514,,,,gemini-2.0-flash-live-001,,,,1
claude-sonnet-4-20250514,,,,gemini-2.0-flash-lite,,,,1
claude-sonnet-4-20250514,,,,gemini-2.0-flash,,,,1
claude-sonnet-4-20250514,,,,gemini-2.5-flash-lite,,,,1
claude-sonnet-4-20250514,,,,gemini-2.5-flash,,,,1
claude-sonnet-4-20250514,,,,gemini-2.5-pro,,,,1
claude-opus-4-20250514,,,,o4-mini,,,,1
claude-opus-4-20250514,,,,o3,,,,1
claude-opus-4-20250514,,,,o3-mini,,,,1
claude-opus-4-20250514,,,,o1,,,,1
claude-opus-4-20250514,,,,gpt-4.1,,,,1
claude-opus-4-20250514,,,,gpt-4o,,,,1
claude-opus-4-20250514,,,,gpt-4.1-mini,,,,1
claude-opus-4-20250514,,,,gpt-4.1-nano,,,,1
claude-opus-4-20250514,,,,gpt-4o-mini,,,,1
claude-opus-4-20250514,,,,gpt-3.5-turbo,,,,1
claude-opus-4-20250514,,,,gpt-4-turbo,,,,1
claude-opus-4-20250514,,,,gpt-4,,,,1
claude-opus-4-20250514,,,,claude-3-haiku-20240307,,,,1
claude-opus-4-20250514,,,,claude-3-5-sonnet-20240620,,,,1
claude-opus-4-20250514,,,,claude-3-5-sonnet-20241022,,,,1
claude-opus-4-20250514,,,,claude-3-5-haiku-20241022,,,,1
claude-opus-4-20250514,,,,claude-3-7-sonnet-20250219,,,,1
claude-opus-4-20250514,,,,claude-sonnet-4-20250514,,,,1
claude-opus-4-20250514,,,,gemini-1.5-pro,,,,1
claude-opus-4-20250514,,,,gemini-1.5-flash-8b,,,,1
claude-opus-4-20250514,,,,gemini-1.5-flash,,,,1
claude-opus-4-20250514,,,,gemini-2.0-flash-live-001,,,,1
claude-opus-4-20250514,,,,gemini-2.0-flash-lite,,,,1
claude-opus-4-20250514,,,,gemini-2.0-flash,,,,1
claude-opus-4-20250514,,,,gemini-2.5-flash-lite,,,,1
claude-opus-4-20250514,,,,gemini-2.5-flash,,,,1
claude-opus-4-20250514,,,,gemini-2.5-pro,,,,1
gemini-1.5-pro,,,,o4-mini,,,,1
gemini-1.5-pro,,,,o3,,,,1
gemini-1.5-pro,,,,o3-mini,,,,1
gemini-1.5-pro,,,,o1,,,,1
gemini-1.5-pro,,,,gpt-4.1,,,,1
gemini-1.5-pro,,,,gpt-4o,,,,1
gemini-1.5-pro,,,,gpt-4.1-mini,,,,1
gemini-1.5-pro,,,,gpt-4.1-nano,,,,1
gemini-1.5-pro,,,,gpt-4o-mini,,,,1
gemini-1.5-pro,,,,gpt-3.5-turbo,,,,1
gemini-1.5-pro,,,,gpt-4-turbo,,,,1
gemini-1.5-pro,,,,gpt-4,,,,1
gemini-1.5-pro,,,,claude-3-haiku-20240307,,,,1
gemini-1.5-pro,,,,claude-3-5-sonnet-20240620,,,,1
gemini-1.5-pro,,,,claude-3-5-sonnet-20241022,,,,1
gemini-1.5-pro,,,,claude-3-5-haiku-20241022,,,,1
gemini-1.5-pro,,,,claude-3-7-sonnet-20250219,,,,1
gemini-1.5-pro,,,,claude-sonnet-4-20250514,,,,1
gemini-1.5-pro,,,,claude-opus-4-20250514,,,,1
gemini-1.5-pro,,,,gemini-1.5-flash-8b,,,,1
gemini-1.5-pro,,,,gemini-1.5-flash,,,,1
gemini-1.5-pro,,,,gemini-2.0-flash-live-001,,,,1
gemini-1.5-pro,,,,gemini-2.0-flash-lite,,,,1
gemini-1.5-pro,,,,gemini-2.0-flash,,,,1
gemini-1.5-pro,,,,gemini-2.5-flash-lite,,,,1
gemini-1.5-pro,,,,gemini-2.5-flash,,,,1
gemini-1.5-pro,,,,gemini-2.5-pro,,,,1
gemini-1.5-flash-8b,,,,o4-mini,,,,1
gemini-1.5-flash-8b,,,,o3,,,,1
gemini-1.5-flash-8b,,,,o3-mini,,,,1
gemini-1.5-flash-8b,,,,o1,,,,1
gemini-1.5-flash-8b,,,,gpt-4.1,,,,1
gemini-1.5-flash-8b,,,,gpt-4o,,,,1
gemini-1.5-flash-8b,,,,gpt-4.1-mini,,,,1
gemini-1.5-flash-8b,,,,gpt-4.1-nano,,,,1
gemini-1.5-flash-8b,,,,gpt-4o-mini,,,,1
gemini-1.5-flash-8b,,,,gpt-3.5-turbo,,,,1
gemini-1.5-flash-8b,,,,gpt-4-turbo,,,,1
gemini-1.5-flash-8b,,,,gpt-4,,,,1
gemini-1.5-flash-8b,,,,claude-3-haiku-20240307,,,,1
gemini-1.5-flash-8b,,,,claude-3-5-sonnet-20240620,,,,1
gemini-1.5-flash-8b,,,,claude-3-5-sonnet-20241022,,,,1
gemini-1.5-flash-8b,,,,claude-3-5-haiku-20241022,,,,1
gemini-1.5-flash-8b,,,,claude-3-7-sonnet-20250219,,,,1
gemini-1.5-flash-8b,,,,claude-sonnet-4-20250514,,,,1
gemini-1.5-flash-8b,,,,claude-opus-4-20250514,,,,1
gemini-1.5-flash-8b,,,,gemini-1.5-pro,,,,1
gemini-1.5-flash-8b,,,,gemini-1.5-flash,,,,1
gemini-1.5-flash-8b,,,,gemini-2.0-flash-live-001,,,,1
gemini-1.5-flash-8b,,,,gemini-2.0-flash-lite,,,,1
gemini-1.5-flash-8b,,,,gemini-2.0-flash,,,,1
gemini-1.5-flash-8b,,,,gemini-2.5-flash-lite,,,,1
gemini-1.5-flash-8b,,,,gemini-2.5-flash,,,,1
gemini-1.5-flash-8b,,,,gemini-2.5-pro,,,,1
gemini-1.5-flash,,,,o4-mini,,,,1
gemini-1.5-flash,,,,o3,,,,1
gemini-1.5-flash,,,,o3-mini,,,,1
gemini-1.5-flash,,,,o1,,,,1
gemini-1.5-flash,,,,gpt-4.1,,,,1
gemini-1.5-flash,,,,gpt-4o,,,,1
gemini-1.5-flash,,,,gpt-4.1-mini,,,,1
gemini-1.5-flash,,,,gpt-4.1-nano,,,,1
gemini-1.5-flash,,,,gpt-4o-mini,,,,1
gemini-1.5-flash,,,,gpt-3.5-turbo,,,,1
gemini-1.5-flash,,,,gpt-4-turbo,,,,1
gemini-1.5-flash,,,,gpt-4,,,,1
gemini-1.5-flash,,,,claude-3-haiku-20240307,,,,1
gemini-1.5-flash,,,,claude-3-5-sonnet-20240620,,,,1
gemini-1.5-flash,,,,claude-3-5-sonnet-20241022,,,,1
gemini-1.5-flash,,,,claude-3-5-haiku-20241022,,,,1
gemini-1.5-flash,,,,claude-3-7-sonnet-20250219,,,,1
gemini-1.5-flash,,,,claude-sonnet-4-20250514,,,,1
gemini-1.5-flash,,,,claude-opus-4-20250514,,,,1
gemini-1.5-flash,,,,gemini-1.5-pro,,,,1
gemini-1.5-flash,,,,gemini-1.5-flash-8b,,,,1
gemini-1.5-flash,,,,gemini-2.0-flash-live-001,,,,1
gemini-1.5-flash,,,,gemini-2.0-flash-lite,,,,1
gemini-1.5-flash,,,,gemini-2.0-flash,,,,1
gemini-1.5-flash,,,,gemini-2.5-flash-lite,,,,1
gemini-1.5-flash,,,,gemini-2.5-flash,,,,1
gemini-1.5-flash,,,,gemini-2.5-pro,,,,1
gemini-2.0-flash-live-001,,,,o4-mini,,,,1
gemini-2.0-flash-live-001,,,,o3,,,,1
gemini-2.0-flash-live-001,,,,o3-mini,,,,1
gemini-2.0-flash-live-001,,,,o1,,,,1
gemini-2.0-flash-live-001,,,,gpt-4.1,,,,1
gemini-2.0-flash-live-001,,,,gpt-4o,,,,1
gemini-2.0-flash-live-001,,,,gpt-4.1-mini,,,,1
gemini-2.0-flash-live-001,,,,gpt-4.1-nano,,,,1
gemini-2.0-flash-live-001,,,,gpt-4o-mini,,,,1
gemini-2.0-flash-live-001,,,,gpt-3.5-turbo,,,,1
gemini-2.0-flash-live-001,,,,gpt-4-turbo,,,,1
gemini-2.0-flash-live-001,,,,gpt-4,,,,1
gemini-2.0-flash-live-001,,,,claude-3-haiku-20240307,,,,1
gemini-2.0-flash-live-001,,,,claude-3-5-sonnet-20240620,,,,1
gemini-2.0-flash-live-001,,,,claude-3-5-sonnet-20241022,,,,1
gemini-2.0-flash-live-001,,,,claude-3-5-haiku-20241022,,,,1
gemini-2.0-flash-live-001,,,,claude-3-7-sonnet-20250219,,,,1
gemini-2.0-flash-live-001,,,,claude-sonnet-4-20250514,,,,1
gemini-2.0-flash-live-001,,,,claude-opus-4-20250514,,,,1
gemini-2.0-flash-live-001,,,,gemini-1.5-pro,,,,1
gemini-2.0-flash-live-001,,,,gemini-1.5-flash-8b,,,,1
gemini-2.0-flash-live-001,,,,gemini-1.5-flash,,,,1
gemini-2.0-flash-live-001,,,,gemini-2.0-flash-lite,,,,1
gemini-2.0-flash-live-001,,,,gemini-2.0-flash,,,,1
gemini-2.0-flash-live-001,,,,gemini-2.5-flash-lite,,,,1
gemini-2.0-flash-live-001,,,,gemini-2.5-flash,,,,1
gemini-2.0-flash-live-001,,,,gemini-2.5-pro,,,,1
gemini-2.0-flash-lite,,,,o4-mini,,,,1
gemini-2.0-flash-lite,,,,o3,,,,1
gemini-2.0-flash-lite,,,,o3-mini,,,,1
gemini-2.0-flash-lite,,,,o1,,,,1
gemini-2.0-flash-lite,,,,gpt-4.1,,,,1
gemini-2.0-flash-lite,,,,gpt-4o,,,,1
gemini-2.0-flash-lite,,,,gpt-4.1-mini,,,,1
gemini-2.0-flash-lite,,,,gpt-4.1-nano,,,,1
gemini-2.0-flash-lite,,,,gpt-4o-mini,,,,1
gemini-2.0-flash-lite,,,,gpt-3.5-turbo,,,,1
gemini-2.0-flash-lite,,,,gpt-4-turbo,,,,1
gemini-2.0-flash-lite,,,,gpt-4,,,,1
gemini-2.0-flash-lite,,,,claude-3-haiku-20240307,,,,1
gemini-2.0-flash-lite,,,,claude-3-5-sonnet-20240620,,,,1
gemini-2.0-flash-lite,,,,claude-3-5-sonnet-20241022,,,,1
gemini-2.0-flash-lite,,,,claude-3-5-haiku-20241022,,,,1
gemini-2.0-flash-lite,,,,claude-3-7-sonnet-20250219,,,,1
gemini-2.0-flash-lite,,,,claude-sonnet-4-20250514,,,,1
gemini-2.0-flash-lite,,,,claude-opus-4-20250514,,,,1
gemini-2.0-flash-lite,,,,gemini-1.5-pro,,,,1
gemini-2.0-flash-lite,,,,gemini-1.5-flash-8b,,,,1
gemini-2.0-flash-lite,,,,gemini-1.5-flash,,,,1
gemini-2.0-flash-lite,,,,gemini-2.0-flash-live-001,,,,1
gemini-2.0-flash-lite,,,,gemini-2.0-flash,,,,1
gemini-2.0-flash-lite,,,,gemini-2.5-flash-lite,,,,1
gemini-2.0-flash-lite,,,,gemini-2.5-flash,,,,1
gemini-2.0-flash-lite,,,,gemini-2.5-pro,,,,1
gemini-2.0-flash,,,,o4-mini,,,,1
gemini-2.0-flash,,,,o3,,,,1
gemini-2.0-flash,,,,o3-mini,,,,1
gemini-2.0-flash,,,,o1,,,,1
gemini-2.0-flash,,,,gpt-4.1,,,,1
gemini-2.0-flash,,,,gpt-4o,,,,1
gemini-2.0-flash,,,,gpt-4.1-mini,,,,1
gemini-2.0-flash,,,,gpt-4.1-nano,,,,1
gemini-2.0-flash,,,,gpt-4o-mini,,,,1
gemini-2.0-flash,,,,gpt-3.5-turbo,,,,1
gemini-2.0-flash,,,,gpt-4-turbo,,,,1
gemini-2.0-flash,,,,gpt-4,,,,1
gemini-2.0-flash,,,,claude-3-haiku-20240307,,,,1
gemini-2.0-flash,,,,claude-3-5-sonnet-20240620,,,,1
gemini-2.0-flash,,,,claude-3-5-sonnet-20241022,,,,1
gemini-2.0-flash,,,,claude-3-5-haiku-20241022,,,,1
gemini-2.0-flash,,,,claude-3-7-sonnet-20250219,,,,1
gemini-2.0-flash,,,,claude-sonnet-4-20250514,,,,1
gemini-2.0-flash,,,,claude-opus-4-20250514,,,,1
gemini-2.0-flash,,,,gemini-1.5-pro,,,,1
gemini-2.0-flash,,,,gemini-1.5-flash-8b,,,,1
gemini-2.0-flash,,,,gemini-1.5-flash,,,,1
gemini-2.0-flash,,,,gemini-2.0-flash-live-001,,,,1
gemini-2.0-flash,,,,gemini-2.0-flash-lite,,,,1
gemini-2.0-flash,,,,gemini-2.5-flash-lite,,,,1
gemini-2.0-flash,,,,gemini-2.5-flash,,,,1
gemini-2.0-flash,,,,gemini-2.5-pro,,,,1
gemini-2.5-flash-lite,,,,o4-mini,,,,1
gemini-2.5-flash-lite,,,,o3,,,,1
gemini-2.5-flash-lite,,,,o3-mini,,,,1
gemini-2.5-flash-lite,,,,o1,,,,1
gemini-2.5-flash-lite,,,,gpt-4.1,,,,1
gemini-2.5-flash-lite,,,,gpt-4o,,,,1
gemini-2.5-flash-lite,,,,gpt-4.1-mini,,,,1
gemini-2.5-flash-lite,,,,gpt-4.1-nano,,,,1
gemini-2.5-flash-lite,,,,gpt-4o-mini,,,,1
gemini-2.5-flash-lite,,,,gpt-3.5-turbo,,,,1
gemini-2.5-flash-lite,,,,gpt-4-turbo,,,,1
gemini-2.5-flash-lite,,,,gpt-4,,,,1
gemini-2.5-flash-lite,,,,claude-3-haiku-20240307,,,,1
gemini-2.5-flash-lite,,,,claude-3-5-sonnet-20240620,,,,1
gemini-2.5-flash-lite,,,,claude-3-5-sonnet-20241022,,,,1
gemini-2.5-flash-lite,,,,claude-3-5-haiku-20241022,,,,1
gemini-2.5-flash-lite,,,,claude-3-7-sonnet-20250219,,,,1
gemini-2.5-flash-lite,,,,claude-sonnet-4-20250514,,,,1
gemini-2.5-flash-lite,,,,claude-opus-4-20250514,,,,1
gemini-2.5-flash-lite,,,,gemini-1.5-pro,,,,1
gemini-2.5-flash-lite,,,,gemini-1.5-flash-8b,,,,1
gemini-2.5-flash-lite,,,,gemini-1.5-flash,,,,1
gemini-2.5-flash-lite,,,,gemini-2.0-flash-live-001,,,,1
gemini-2.5-flash-lite,,,,gemini-2.0-flash-lite,,,,1
gemini-2.5-flash-lite,,,,gemini-2.0-flash,,,,1
gemini-2.5-flash-lite,,,,gemini-2.5-flash,,,,1
gemini-2.5-flash-lite,,,,gemini-2.5-pro,,,,1
gemini-2.5-flash,,,,o4-mini,,,,1
gemini-2.5-flash,,,,o3,,,,1
gemini-2.5-flash,,,,o3-mini,,,,1
gemini-2.5-flash,,,,o1,,,,1
gemini-2.5-flash,,,,gpt-4.1,,,,1
gemini-2.5-flash,,,,gpt-4o,,,,1
gemini-2.5-flash,,,,gpt-4.1-mini,,,,1
gemini-2.5-flash,,,,gpt-4.1-nano,,,,1
gemini-2.5-flash,,,,gpt-4o-mini,,,,1
gemini-2.5-flash,,,,gpt-3.5-turbo,,,,1
gemini-2.5-flash,,,,gpt-4-turbo,,,,1
gemini-2.5-flash,,,,gpt-4,,,,1
gemini-2.5-flash,,,,claude-3-haiku-20240307,,,,1
gemini-2.5-flash,,,,claude-3-5-sonnet-20240620,,,,1
gemini-2.5-flash,,,,claude-3-5-sonnet-20241022,,,,1
gemini-2.5-flash,,,,claude-3-5-haiku-20241022,,,,1
gemini-2.5-flash,,,,claude-3-7-sonnet-20250219,,,,1
gemini-2.5-flash,,,,claude-sonnet-4-20250514,,,,1
gemini-2.5-flash,,,,claude-opus-4-20250514,,,,1
gemini-2.5-flash,,,,gemini-1.5-pro,,,,1
gemini-2.5-flash,,,,gemini-1.5-flash-8b,,,,1
gemini-2.5-flash,,,,gemini-1.5-flash,,,,1
gemini-2.5-flash,,,,gemini-2.0-flash-live-001,,,,1
gemini-2.5-flash,,,,gemini-2.0-flash-lite,,,,1
gemini-2.5-flash,,,,gemini-2.0-flash,,,,1
gemini-2.5-flash,,,,gemini-2.5-flash-lite,,,,1
gemini-2.5-flash,,,,gemini-2.5-pro,,,,1
gemini-2.5-pro,,,,o4-mini,,,,1
gemini-2.5-pro,,,,o3,,,,1
gemini-2.5-pro,,,,o3-mini,,,,1
gemini-2.5-pro,,,,o1,,,,1
gemini-2.5-pro,,,,gpt-4.1,,,,1
gemini-2.5-pro,,,,gpt-4o,,,,1
gemini-2.5-pro,,,,gpt-4.1-mini,,,,1
gemini-2.5-pro,,,,gpt-4.1-nano,,,,1
gemini-2.5-pro,,,,gpt-4o-mini,,,,1
gemini-2.5-pro,,,,gpt-3.5-turbo,,,,1
gemini-2.5-pro,,,,gpt-4-turbo,,,,1
gemini-2.5-pro,,,,gpt-4,,,,1
gemini-2.5-pro,,,,claude-3-haiku-20240307,,,,1
gemini-2.5-pro,,,,claude-3-5-sonnet-20240620,,,,1
gemini-2.5-pro,,,,claude-3-5-sonnet-20241022,,,,1
gemini-2.5-pro,,,,claude-3-5-haiku-20241022,,,,1
gemini-2.5-pro,,,,claude-3-7-sonnet-20250219,,,,1
gemini-2.5-pro,,,,claude-sonnet-4-20250514,,,,1
gemini-2.5-pro,,,,claude-opus-4-20250514,,,,1
gemini-2.5-pro,,,,gemini-1.5-pro,,,,1
gemini-2.5-pro,,,,gemini-1.5-flash-8b,,,,1
gemini-2.5-pro,,,,gemini-1.5-flash,,,,1
gemini-2.5-pro,,,,gemini-2.0-flash-live-001,,,,1
gemini-2.5-pro,,,,gemini-2.0-flash-lite,,,,1
gemini-2.5-pro,,,,gemini-2.0-flash,,,,1
gemini-2.5-pro,,,,gemini-2.5-flash-lite,,,,1
gemini-2.5-pro,,,,gemini-2.5-flash,,,,1
